Open,High,Low,Close,Volume
19305.5,19305.5,19250.5,19283,299240665
19283,19294.5,19230.5,19294.5,241357869
19294.5,19314.5,19264.5,19305.5,251149697
19305.5,19314,19285.5,19285.5,299050956
19285.5,19285.5,19254.5,19254.5,344528608
19254.5,19275.5,19253.5,19275.5,430866966
19275.5,19292,19275.5,19281,389000704
19281,19316,19281,19316,380513484
19316,19335,19312.5,19327.5,316757545
19327.5,19327.5,19282,19303,333156882
19304,19304,19272.5,19301,320578075
19301,19313.5,19291.5,19313.5,221846371
19313.5,19365,19308.5,19365,380138408
19365,19365,19329.5,19334.5,315299268
19334.5,19370,19334.5,19365,270553365
19365,19370,19355.5,19360,343646383
19360,19360,19338.5,19338.5,445546852
19342,19350.5,19333,19350.5,358493684
19350.5,19366.5,19350.5,19366.5,315765864
19366.5,19400,19365,19400,387521463
19401.5,19430,19401.5,19418,354844642
19422.5,19425.5,19418,19425.5,405098978
19427.5,19427.5,19422.5,19422.5,807956932
19422.5,19422.5,19387,19392,374934536
19392,19438,19392,19438,373361208
19438,19450,19438,19450,579546574
19451.5,19451.5,19449.5,19449.5,339131218
19449.5,19449.5,19410.5,19410.5,348742246
19410.5,19410.5,19394.5,19397,381588378
19397,19417.5,19394.5,19417.5,383051794
19417.5,19480,19417.5,19480,342208936
19480,19489,19479.5,19484,333260561
19484,19499.5,19478.5,19481.5,312946790
19481.5,19481.5,19478,19478,352627924
19478,19478,19460.5,19462,383219489
19462,19462,19422.5,19422.5,448051728
19420.5,19430,19420.5,19429.5,429792765
19429.5,19448.5,19429.5,19448.5,353051432
19448.5,19448.5,19400.5,19400.5,398253481
19400.5,19429,19400.5,19425.5,322397242
19429,19475,19429,19475,349508846
19475,19490,19475,19488,305965142
19488,19488,19449,19449,459095252
19449,19453,19404,19404,369404435
19404,19420,19398,19413.5,343565507
19413.5,19418,19368,19368,510912379
19368,19391.5,19368,19391.5,266744417
19384,19384,19343.5,19362.5,358284523
19363,19363,19341,19342.5,373836370
19342.5,19350,19341,19342.5,439035326
19342.5,19350,19337,19341,413692259
19341,19341,19325.5,19328.5,450307947
19328.5,19334.5,19328.5,19328.5,368445043
19328.5,19328.5,19306,19322,432602737
19322,19327.5,19304,19304,328761181
19304,19312.5,19304,19306,366271410
19304.5,19350,19304,19350,536289334
19350,19373.5,19340.5,19367,320176584
19362.5,19366,19347.5,19353.5,284596492
19353.5,19353.5,19328,19328,288218969
19328,19328,19277,19278.5,395374615
19278.5,19281.5,19253,19253,313543072
19257,19261.5,19231,19260,307066928
19260,19260.5,19229,19237.5,357569512
19237.5,19264.5,19237.5,19241.5,299190176
19241.5,19275,19241.5,19274,304972200
19274,19291,19270,19270,380546853
19270,19277.5,19246.5,19246.5,334356263
19246.5,19246.5,19211,19239.5,387672631
19235.5,19241.5,19205,19241.5,318404506
19241.5,19249,19232,19232,285793647
19232,19260,19218.5,19260,269558095
19260,19264,19232.5,19232.5,273535462
19232.5,19232.5,19211.5,19230,258165488
19230,19310,19230,19310,326357300
19310,19338,19310,19337,328273689
19337,19337,19315.5,19315.5,397409227
19315.5,19318,19309,19309,361851576
19309,19322,19302,19322,316454961
19318.5,19318.5,19309.5,19317.5,352435148
19317.5,19370.5,19317.5,19365.5,382278133
19363,19370.5,19347.5,19359,328328534
19359,19359.5,19342.5,19350,340083226
19350,19357,19344.5,19344.5,335844354
19344.5,19348,19342.5,19348,384695134
19348,19348,19320.5,19320.5,345983392
19317.5,19320.5,19280.5,19320.5,250709607
19320.5,19320.5,19309.5,19310.5,377367151
19314.5,19314.5,19253,19253,356863124
19253,19259,19233,19259,301022858
19259,19262,19250.5,19251.5,372303564
19251.5,19251.5,19225,19237.5,347550118
19237.5,19237.5,19226.5,19237.5,340258587
19237.5,19240.5,19233.5,19233.5,388075714
19233.5,19240.5,19203.5,19204,343589891
19204,19204,19150.5,19181,321223099
19186.5,19238,19186.5,19238,292596765
19238,19238,19194.5,19218,281960376
19218,19248,19209.5,19242,244249884
19242,19258,19242,19253.5,321209921
19251.5,19251.5,19248,19248.5,450974557
19248.5,19248.5,19212.5,19224.5,350274973
19224.5,19273.5,19224.5,19273.5,322264228
19273.5,19288.5,19273.5,19277.5,344003217
19282.5,19282.5,19266.5,19266.5,339836433
19266.5,19284.5,19266.5,19281,362783138
19281,19289,19272.5,19283,364832777
19283,19283,19252,19252,411921263
19252,19258.5,19231.5,19238,301835879
19238,19296,19238,19292,319456470
19296,19308.5,19292,19301.5,489451588
19307,19330.5,19307,19310.5,426504480
19310.5,19310.5,19289.5,19294.5,425235239
19294.5,19308.5,19294.5,19308.5,341819454
19308.5,19317,19299.5,19299.5,398030181
19299.5,19302,19294.5,19302,419050561
19302,19302,19272.5,19272.5,403754118
19272.5,19324,19272.5,19319,309634016
19319,19319,19307.5,19314.5,501246168
19317,19335.5,19317,19323,350246278
19323,19323,19308.5,19308.5,395299179
19308.5,19320.5,19308.5,19320.5,386907148
19320.5,19335.5,19284.5,19284.5,427162991
19274.5,19274.5,19219.5,19243,287782880
19243,19270,19243,19270,473824739
19270,19271,19263,19263,565856790
19263,19263,19263,19263,793430189
19263,19276,19248,19258,343125280
19258,19258,19229.5,19229.5,317328224
19229.5,19241,19229.5,19237,417430266
19241,19252,19241,19252,381424978
19255,19259,19217.5,19221.5,569949269
19217,19217,19182.5,19200,226624259
19208.5,19237.5,19204,19237.5,314468747
19237.5,19280,19237.5,19280,337940678
19280,19280,19259.5,19272.5,515288861
19276,19289,19276,19276,452708087
19276,19279.5,19259,19272,318759954
19272,19272,19236,19236,389167466
19236,19254,19235.5,19254,452110241
19254,19254,19242.5,19242.5,445004026
19242.5,19260,19242.5,19251,338553947
19251,19289,19251,19289,308324680
19289,19307,19289,19291.5,295990780
19291.5,19291.5,19275.5,19275.5,463361004
19275.5,19275.5,19243.5,19244,556244898
19235.5,19246,19229.5,19240,386466673
19240,19240,19227,19237.5,429454099
19237.5,19278,19237.5,19278,335791462
19278,19287.5,19211.5,19211.5,373192637
19211.5,19221,19206.5,19206.5,457332945
19206.5,19235,19205.5,19224,460232459
19224,19224,19214.5,19218,472453589
19218,19261,19218,19261,307614777
19263,19326.5,19261,19300.5,328416503
19300.5,19363.5,19300.5,19354,298528724
19354,19363.5,19329,19353.5,306484486
19353.5,19405,19353.5,19405,281477584
19404.5,19419.5,19392.5,19409.5,311938337
19404,19418.5,19380.5,19395.5,359690979
19390,19401.5,19385,19385,373910895
19385,19391.5,19385,19391.5,406039452
19391.5,19399.5,19385.5,19399.5,388485230
19399.5,19399.5,19385.5,19385.5,400663004
19385.5,19385.5,19358,19362.5,440922795
19362.5,19362.5,19352.5,19352.5,507205710
19352.5,19386.5,19352.5,19386.5,321764844
19384.5,19390.5,19381.5,19390.5,454385105
19390.5,19416.5,19390.5,19404.5,668709170
19401,19417,19400,19400,373587499
19400,19400,19395.5,19400,342165434
19400,19400,19399.5,19399.5,448432185
19399.5,19399.5,19374,19389,540438797
19389,19408.5,19373,19407.5,359122006
19407.5,19430,19407.5,19430,368289650
19430,19436,19419.5,19431,619491758
19431,19431,19406.5,19426.5,348670867
19426.5,19436,19425.5,19425.5,510320403
19425.5,19425.5,19397.5,19403,350852903
19403,19436,19403,19436,326429603
19436,19445,19434.5,19445,801829537
19445,19445,19438,19442.5,707980038
19442.5,19450,19442.5,19450,535758227
19450.5,19465.5,19443,19443,506254605
19443,19464,19443,19461,430404503
19461,19461,19461,19461,515819838
19461,19495,19461,19475,404773733
19475,19490,19454.5,19454.5,365859973
19454.5,19454.5,19448,19448,274744299
19448,19449,19442.5,19449,504220976
19449,19455,19448.5,19455,333825807
19455,19455,19439,19439,623336069
19439,19440.5,19434.5,19438.5,481930768
19438.5,19438.5,19417,19417,532541347
19417,19422,19400.5,19408,465383827
19408,19436.5,19408,19427,345310048
19427,19444,19427,19439,321355568
19439,19455,19431,19455,297232041
19455,19455,19423.5,19423.5,292348482
19423.5,19423.5,19417.5,19417.5,419048696
19417.5,19452.5,19417.5,19452.5,325393214
19452.5,19455,19440,19440,359710900
19440,19440,19428.5,19438.5,415190258
19438.5,19450,19438.5,19450,305317807
19450,19450,19423,19426,384121590
19426,19426,19415,19416,450165628
19416,19448,19416,19447.5,359301103
19447.5,19447.5,19427.5,19429.5,411864058
19429.5,19447,19429.5,19447,349148030
19455,19466,19453.5,19466,336544128
19466,19504,19466,19504,322906125
19504,19504,19495,19495,793340768
19495,19495,19477,19482,417235233
19482,19492,19482,19492,444690774
19492,19495,19492,19495,826485364
19495,19516,19495,19506.5,624230329
19506.5,19506.5,19495.5,19500,399042147
19500,19506,19500,19506,341588018
19506,19506,19506,19506,336819378
19506,19506,19506,19506,415793548
19506,19506,19446.5,19457.5,415506557
19457.5,19505,19457.5,19505,364189687
19505,19535.5,19505,19535.5,300097375
19535.5,19535.5,19499,19499,336529255
19499,19499,19476.5,19492.5,368344514
19487.5,19487.5,19482.5,19482.5,369161396
19482,19482,19468,19468,429665544
19465.5,19465.5,19452.5,19459,369277568
19459,19468,19459,19461,389606014
19461,19461,19449.5,19449.5,430962371
19449.5,19461.5,19448.5,19448.5,419828109
19448.5,19461.5,19447.5,19461.5,456112149
19461.5,19461.5,19439,19447,321142231
19447,19460,19447,19458,352114254
19458,19477,19458,19477,355552485
19477,19477,19466.5,19466.5,363045207
19466.5,19466.5,19449,19449,563121632
19449,19449,19410.5,19420.5,398714377
19420.5,19454,19416,19445.5,286609513
19450,19450.5,19450,19450.5,423950777
19450.5,19450.5,19447.5,19447.5,488022733
19440,19440,19428.5,19428.5,416997815
19428.5,19442,19428.5,19439,387366885
